03/03/2016,-46.95,EFTPOS WOOLWORTHS      3169     NEWMARKET PLZAU
02/03/2016,-15.85,EFTPOS HJ FLEMINGTON       5340 FLEMINGTON
02/03/2016,-419,VISA DEBIT PURCHASE CARD 3067 OFWKS ONLINE BENTLEIGH 03
29/02/2016,-209.51,EFTPOS WOOLWORTHS      3169     NEWMARKET PLZAU
29/02/2016,-20.22,EFTPOS WW PETROL       3525     HOPPERS CROSSAU
26/02/2016,-842.76,ANZ INTERNET BANKING FUNDS TFER TRANSFER 174653 TO                 WEI H
25/02/2016,1500,ANZ INTERNET BANKING FUNDS TFER LIVING FEE          LUNG SING TENG
23/02/2016,1000,ANZ INTERNET BANKING FUNDS TFER FROM FATHER MONEY   WEI RONG TENG
15/02/2016,6,WAIVE: OVERDRAWN FEE
15/02/2016,-6,OVERDRAWN FEE
15/02/2016,-1.01,DEBIT INTEREST CHARGED
09/02/2016,6,WAIVE: OVERDRAWN FEE
09/02/2016,-6,OVERDRAWN FEE
09/02/2016,-135.4,VISA DEBIT PURCHASE CARD 3067 PAYPAL *LAOYOUKA 4029357733
08/02/2016,6,WAIVE: OVERDRAWN FEE
08/02/2016,-6,OVERDRAWN FEE
08/02/2016,-26.71,VISA DEBIT PURCHASE CARD 3067 PAYPAL *LAOYOUKA 4029357733
05/02/2016,6,WAIVE: OVERDRAWN FEE
05/02/2016,-6,OVERDRAWN FEE
05/02/2016,-14.11,VISA DEBIT PURCHASE CARD 3067 AMAZON WEB SERVICES AWS.AMAZON.CO 9.59 USD INC O/S FEE $0.41
02/02/2016,-83,PAYMENT TO VODAFONE         T1 1E6289 0
01/02/2016,-12.7,EFTPOS AIRPORT RETAIL ENTER MELBOURNE VIC
01/02/2016,-18,VISA DEBIT PURCHASE CARD 3067 SKYBUS COACH SERVICE MELBOURNE
29/01/2016,-67.01,EFTPOS COLES 7994               ASCOT VALE   AU
27/01/2016,-180,EFTPOS PLATYPUS SHOES     \MELBOURNE         AU
27/01/2016,-20,EFTPOS HANDYWAY MYKI S KNS 6954 KENSINGTON
27/01/2016,-917,ANZ M-BANKING PAYMENT TRANSFER 459001 TO WEI HUI
27/01/2016,-58,EFTPOS APPLE STORE            HIGHPOINT      AU
25/01/2016,-39.92,EFTPOS KFL SUPERMARKET FLEM FLEMINGTON VIC01
25/01/2016,5,ANZ M-BANKING PAYMENT MR WEI RONG TENG
