7/3/2016,-53.9,WALLAN PHARMACY           WALLAN
7/3/2016,-40.38,WOOLWORTHS3184            WALLAN
7/3/2016,-73.91,COLES 7778                WALLAN
7/3/2016,-26.99,FOXXYS LIQUOR             WALLAN
7/3/2016,-47.8,HIGHLANDS HOTEL       CRA IGIEBURN  VIC
4/3/2016,50,PAYMENT - THANKYOU
4/3/2016,400,PAYMENT THANKYOU 401946
4/3/2016,100,PAYMENT THANKYOU 295574
4/3/2016,-160.25,VICROADS             312359 ANZ BPAY
4/3/2016,-80.75,PRETTY SALLY HOME AND GAR WALLAN
4/3/2016,-6.2,WALLAN PHARMACY           WALLAN
4/3/2016,-33,Rattlers Hotel            WALLAN
3/3/2016,-48.11,WOOLWORTHS3184            WALLAN
2/3/2016,-42,VALLEY PRODUCE            WALLAN
2/3/2016,-18.9,HIGHLANDS HOTEL       CRA IGIEBURN  VIC
1/3/2016,-38.4,THINK INDIA CAFE          WALLAN
29/02/2016,-30.46,WOOLWORTHS3184            WALLAN
29/02/2016,-19.02,WW PETROL 3041            WALLAN
29/02/2016,-23.51,WOOLWORTHS3184            WALLAN
29/02/2016,-120,TIEW F HAN NEUROSURGEO    FITZROY
29/02/2016,-180,MITCHELL SHIRE RATES 445992 ANZ BPAY
29/02/2016,-100,AGL SALES P/L        445980 ANZ BPAY
29/02/2016,-87.6,AMBULANCE VICTORIA   446027 ANZ BPAY
29/02/2016,-50,AGL SALES P/L        445952 ANZ BPAY
29/02/2016,-60,Yarra Valley Water   446009 ANZ BPAY
29/02/2016,-26.62,BUNNINGS 755000           CRAIGIEBURN
29/02/2016,-70.22,ALDI 022                  WALLAN
29/02/2016,-31.99,COOL BREEZE CLOTHING      HEIDELBERG
29/02/2016,-16.97,COOL BREEZE CLOTHING      HEIDELBERG
26/02/2016,85,PAYMENT THANKYOU 445895
26/02/2016,-19.21,WW PETROL 3041            WALLAN
26/02/2016,-35,BIG W 0361 CRAIGIEBURN    CRAIGIEBURN
26/02/2016,-38,CHEMIST WAREHOUSE         BUNDOORA
26/02/2016,-83.99,SPOTLIGHT 113             MILL PARK
26/02/2016,-54.6,HOGANS HOTEL              WALLAN
26/02/2016,-140,RIHAC ENTERPRISES P   MAI DSTONE    VIC
26/02/2016,-15.9,MCDONALDS HEIDELBERG      HEIDELBERG WE
25/02/2016,800,PAYMENT THANKYOU 424288
25/02/2016,-36.45,WW PETROL 3041            WALLAN
25/02/2016,-48.87,WW PETROL 3041            WALLAN
24/02/2016,-82,CANCER COUNCIL VICTORIA   MELBOURNE
23/02/2016,-25.42,WW PETROL 3041            WALLAN
23/02/2016,-32.5,FIRST WE FEAST            WALLAN
23/02/2016,-63,The Kangaroo Hotel        MALDON
22/02/2016,-35.38,WOOLWORTHS3184            WALLAN
22/02/2016,-21,TIMBER/HARDWARE           MALDON
19/02/2016,-26.34,PETBARN PTY LTD           KANGAROO FLAT
19/02/2016,-54.03,NQR                       KANGAROO FLAT
19/02/2016,-32.29,MAXI FOODS IGA            CASTLEMAINE
19/02/2016,-56.16,SYMPHONY BUSINES PTY      CASTLEMAINE
18/02/2016,-49,BWS LIQUOR 3057           KANGAROO FLAT
17/02/2016,-28,JAMAX CATERING PL     WAT SONIA     VIC
17/02/2016,-300,FOUR LITTLE AUSSIES   WAL LAN EAST  VIC
16/02/2016,50,REWARD PAYMENT
16/02/2016,1200,PAYMENT THANKYOU 314937
16/02/2016,645,PAYMENT THANKYOU 314950
16/02/2016,-45.6,WOOLWORTHS3184            WALLAN
15/02/2016,-17.92,WOOLWORTHS3184            WALLAN
15/02/2016,-25.51,COLES 7778                WALLAN
15/02/2016,-10.95,MCDONALDS WHITTLESEA      WHITTLESEA
15/02/2016,-337.55,MEDIBANK NSW COTRIBT      MELBOURNE
15/02/2016,-32,NEWS DIGITAL SUBS         SURRY HILLS
15/02/2016,-219.22,BUNNINGS 689000           MILL PARK
12/2/2016,-10.47,WOOLWORTHS3184            WALLAN
12/2/2016,-43.58,WW PETROL 3041            WALLAN
12/2/2016,-54.55,WALLAN PHARMACY           WALLAN
11/2/2016,-18.6,RAMSAY HEALTH CARE        HEIDELBERG
10/2/2016,-13.35,PRETTY SALLY HOME AND GAR WALLAN
10/2/2016,-17.45,COLES 7778                WALLAN
10/2/2016,-58.4,ALDI 022                  WALLAN
9/2/2016,-16.5,WHITTLESEA BOWLS          WHITTLESEA
8/2/2016,-31,PRETTY SALLY HOME AND GAR WALLAN
8/2/2016,-32.66,COLES 7778                WALLAN
8/2/2016,-92.9,PRETTY SALLY HOME AND GAR WALLAN
8/2/2016,-35.13,WW PETROL 3041            WALLAN
8/2/2016,-10.5,SUBWAY WALLAN             WALLAN
5/2/2016,-49.8,WOOLWORTHS3184            WALLAN
5/2/2016,-6.2,WALLAN PHARMACY           WALLAN
4/2/2016,-26,PRETTY SALLY HOME AND GAR WALLAN
4/2/2016,-43.85,FIRST WE FEAST            WALLAN
4/2/2016,-48.9,HOGANS HOTEL              WALLAN
4/2/2016,-13.17,ALDI 022                  WALLAN
4/2/2016,-110,TEBBUTT MEDICAL PL        HEIDELBERG
3/2/2016,-58.39,WOOLWORTHS3184            WALLAN
3/2/2016,-27.9,WW PETROL 3041            WALLAN
2/2/2016,-40.56,COLES 7778                WALLAN
2/2/2016,-15.2,TARGET 5030               EPPING
1/2/2016,-120,TIEW F HAN NEUROSURGEO    FITZROY
1/2/2016,-28.18,WW PETROL 3041            WALLAN
1/2/2016,-77.45,HURSTBRIDGE POST CAFE PL  HURSTBRIDGE
1/2/2016,-58.95,VALLEY PRODUCE            WALLAN
29/01/2016,-10.7,MCDONALDS HEIDELBERG      HEIDELBERG WE
28/01/2016,1700,PAYMENT THANKYOU 153733
28/01/2016,100,PAYMENT THANKYOU 153747
28/01/2016,-28.14,WOOLWORTHS3184            WALLAN
28/01/2016,-100,AGL SALES P/L        153710 ANZ BPAY
27/01/2016,-67.57,WOOLWORTHS3184            WALLAN
27/01/2016,-79.32,ALDI 022                  WALLAN
27/01/2016,-48,HOGANS HOTEL              WALLAN
25/01/2016,-27.5,PRETTY SALLY HOME AND GAR WALLAN
25/01/2016,-27.02,WOOLWORTHS3184            WALLAN
25/01/2016,-30,JR FRUITS                 WALLAN
25/01/2016,-17.05,WALLAN NEWS & LOTTO       WALLAN
25/01/2016,-42,FOXXY S LIQUOR            WALLAN
21/01/2016,-39.87,COLES 7778                WALLAN
21/01/2016,-115,BROADMEADOWS EYE AND      GLADSTONE PAR
20/01/2016,-147.68,BUNNINGS 755000           CRAIGIEBURN
19/01/2016,-27.32,WW PETROL 3041            WALLAN
19/01/2016,-10.25,SUBWAY WALLAN             WALLAN
18/01/2016,-30.64,WOOLWORTHS3184            WALLAN
18/01/2016,-41.73,WOOLWORTHS3184            WALLAN
18/01/2016,-39.76,WW PETROL 3041            WALLAN
18/01/2016,-12.79,MALDON IGA PLUS LIQUOR    MALDON
18/01/2016,-18,TIMBER/HARDWARE           MALDON
18/01/2016,-51.44,MAXI FOODS IGA            CASTLEMAINE
18/01/2016,-32,NEWS DIGITAL SUBS         SURRY HILLS
15/01/2016,-25.95,MALDON IGA PLUS LIQUOR    MALDON
15/01/2016,-41.2,THINK INDIA CAFE          WALLAN
15/01/2016,-22.7,MCDONALDS KINGSBURY       KINGSBURY
15/01/2016,-71.1,FOXXY S LIQUOR            WALLAN
14/01/2016,1500,PAYMENT THANKYOU 927699
14/01/2016,-180,MITCHELL SHIRE RATES 927768 ANZ BPAY
14/01/2016,-100,AGL SALES P/L        927732 ANZ BPAY
14/01/2016,-50,AGL SALES P/L        927755 ANZ BPAY
14/01/2016,-60,Yarra Valley Water   927783 ANZ BPAY
14/01/2016,-250,RAMSAY HEALTH CARE        HEIDELBERG
13/01/2016,-22.98,CHEMIST WAREHOUSE         BUNDOORA
13/01/2016,-337.55,MEDIBANK NSW COTRIBT      MELBOURNE
13/01/2016,-15,VALLEY PRODUCE            WALLAN
13/01/2016,-5.95,WALLAN PHARMACY           WALLAN
12/1/2016,-132.83,ALDI 022                  WALLAN
11/1/2016,-39.52,WW PETROL 3041            WALLAN
11/1/2016,-28,PRETTY SALLY HOME AND GAR WALLAN
8/1/2016,-8.68,COLES 7778                WALLAN
8/1/2016,-6,WALLAN PHARMACY           WALLAN
7/1/2016,-10.72,WOOLWORTHS3184            WALLAN
7/1/2016,-31.9,XIANG GARDEN              WHITTLESEA
6/1/2016,-25.77,WOOLWORTHS3184            WALLAN
6/1/2016,-10.25,SUBWAY WALLAN             WALLAN
6/1/2016,-14.85,MCDONALDS THOMASTN II     THOMASTOWN
5/1/2016,-50.44,WW PETROL 3041            WALLAN
5/1/2016,-68,GOOD GUYS THOMASTOWN      THOMASTOWN
5/1/2016,-19.58,ALDI 022                  WALLAN
4/1/2016,-21.65,WALLAN PHARMACY           WALLAN
4/1/2016,-308,MALDON CARAVAN PARK       MALDON
4/1/2016,-28,VALLEY PRODUCE            WALLAN
4/1/2016,-20.2,MCDONALDS HEIDELBERG      HEIDELBERG WE
31/12/2015,1320,PAYMENT THANKYOU 809208
31/12/2015,30,PAYMENT THANKYOU 809225
31/12/2015,-39.16,SW PETROL 3041            WALLAN
31/12/2015,-180,MITCHELL SHIRE RATES 809316 ANZ BPAY
31/12/2015,-17.6,PRETTY SALLY HOME AND GAR WALLAN
31/12/2015,-8,SAFEWAY 3184              WALLAN
31/12/2015,-28.37,WOOLWORTHS3184            WALLAN
31/12/2015,-17.99,CHEMIST WAREHOUSE         BUNDOORA
31/12/2015,-27.93,COOL BREEZE CLOTHING      HEIDELBERG
29/12/2015,-13.25,WOOLWORTHS3184            WALLAN
29/12/2015,-7.75,WOOLWORTHS3184            WALLAN
29/12/2015,-70.35,WOOLWORTHS3184            WALLAN
29/12/2015,-25.3,COLES 7778                WALLAN
29/12/2015,-40.99,FOXXYS LIQUOR             WALLAN
29/12/2015,-14.99,GV BARGAINS               WALLAN
29/12/2015,-11.95,WALLAN PHARMACY           WALLAN
